airbnb_id,beds,is_rebookable,is_business_travel_ready,is_family_preferred,is_superhost,picture_count,lat,lng,localized_city,localized_neighborhood,name,person_capacity,reviews_count,room_type,space_type,star_rating,can_instant_book,monthly_price_factor,rate_amount,rate_amount_formatted,rate_amount_micros,rate_currency,weekly_price_factor,state
15519501,2,0,0,0,0,11,30.22314072,-97.69384543,Austin,,2 bed/2 bath Home Near F1 Racetrack/Downtown,4,0,Entire home/apt,Entire house,,0,1,450,$450 ,,USD,1,TX
15532563,5,0,0,0,0,14,30.29193187,-97.70278177,Austin,,"3/2 Right in the Heart of the City (SXSW, ACL, UT)",7,0,Entire home/apt,Entire house,,0,1,400,$400 ,,USD,0.9,TX
15538986,4,0,0,0,0,12,30.29271708,-97.7223239,Austin,Hancock,Luxury Apartment Downtown/UT Area,4,0,Entire home/apt,Entire apartment,,0,1,250,$250 ,,USD,1,TX
15544709,3,0,0,0,0,2,30.2794935,-97.74703271,Austin,,"Heart of Austin, Bohemian living, room.",3,1,Private room,Private room,,1,0.75,200,$200 ,,USD,0.85,TX
15544917,2,0,1,0,1,13,30.25543472,-97.71705517,Austin,Holly,1br East Side Tree House in great location,3,15,Entire home/apt,Entire guesthouse,5,1,0.49,150,$150 ,,USD,0.71,TX
15548614,2,0,1,0,1,21,30.25420173,-97.72909616,Austin,East Downtown,"Trendy East Austin:2 blks to Lake,5 blks to Rainey",6,33,Entire home/apt,Entire house,5,1,0.6,200,$200 ,,USD,0.8,TX
15548940,2,0,0,0,0,7,30.24460778,-97.72742881,Austin,,Modern Downtown 2 bed Across from Ladybird,4,0,Entire home/apt,Entire apartment,,0,1,400,$400 ,,USD,0.75,TX
15552668,1,0,1,0,1,13,30.28045086,-97.69178736,Austin,MLK & 183,Welcome to our Tiny Home!,4,37,Entire home/apt,Entire house,5,1,0.7,125,$125 ,,USD,0.85,TX
15560080,1,0,0,0,0,4,30.20825412,-97.79471034,Austin,,Cozy room in South Austin,2,6,Private room,Private room,5,0,0.6,70,$70 ,,USD,0.83,TX
15562462,2,0,0,0,0,23,30.21979179,-97.69903007,Austin,,Close to COTA/Airport/Downtown,6,0,Entire home/apt,Entire house,,0,1,800,$800 ,,USD,1,TX
15565279,3,0,0,0,1,12,30.20086068,-98.01204602,Austin,,Beautiful and Spacious Hill Country Home,4,20,Entire home/apt,Entire guesthouse,5,1,0.65,122,$122 ,,USD,0.83,TX
